Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Side
"C1","10n","CAP_0603",19.700000,9.800000,0.000000,bottom
"C2","10u","CAP_0603",23.000000,6.800000,90.000000,bottom
"C3","1u","CAP_0603",3.000000,36.500000,0.000000,bottom
"C4","10u","CAP_0603",25.000000,6.800000,90.000000,bottom
"C5","1u","CAP_0603",5.000000,33.700000,90.000000,bottom
"C6","10u","CAP_0603",12.100000,35.100000,0.000000,bottom
"C7","0.1u","CAP_0603",16.700000,21.400000,270.000000,bottom
"C8","0.1u","CAP_0603",8.000000,20.200000,0.000000,bottom
"C9","0.1u","CAP_0603",4.300000,28.500000,270.000000,bottom
"C10","10n","CAP_0603",9.100000,33.500000,0.000000,bottom
"C11","1u","CAP_0603",12.100000,33.500000,180.000000,bottom
"C12","220u","CAP_05xxR_horiz_HOLE",21.100000,26.700000,180.000000,bottom
"C13","220u","CAP_05xxR_horiz_HOLE",27.100000,26.700000,180.000000,bottom
"D1","LED","LED_0603",23.200000,1.200000,0.000000,bottom
"DA1","MCP73832","SOT23-5",23.700000,10.300000,270.000000,bottom
"DA2","NCP583SQ","SC82AB",2.700000,33.800000,270.000000,bottom
"DD1","STM32L151CxTx","LQFP48",11.100000,26.700000,270.000000,bottom
"F1","Fuse0R","RES_0603_FUSE",23.000000,35.600000,270.000000,bottom
"Q5","NSS20101","SC89-3",8.100000,38.700000,90.000000,bottom
"R1","1k","RES_0603",27.000000,1.200000,180.000000,bottom
"R2","3k","RES_0603",19.700000,11.400000,180.000000,bottom
"R3","10k","RES_0603",23.300000,3.700000,0.000000,bottom
"R4","10k","RES_0603",21.000000,35.600000,270.000000,bottom
"R5","1k","RES_0603",22.100000,42.200000,0.000000,bottom
"R6","1k","RES_0603",7.600000,36.200000,0.000000,bottom
"SW2","DIPx6","DIP_SMD_1D27X6",9.000000,13.700000,90.000000,bottom
"XL2","USB_Micro_B","USBmicro_MOLEX_WM17142",15.100000,5.200000,90.000000,bottom
"B1","LP603030","EEMB603030",15.100000,15.200000,0.000000,top
"D2","PMEG2020","SOD323",15.100000,34.200000,270.000000,top
"D3","LED","LED_Diamond_Dragon",15.100000,48.200000,180.000000,top
"D4","LED","LED_RAD",15.100000,48.200000,0.000000,top
"D5","LED","LED_XPE",15.100000,40.200000,0.000000,top
"Q1","IRLML6401","SOT23-3",12.500000,34.300000,270.000000,top
"Q2","IRLML6401","SOT23-3",17.600000,34.400000,0.000000,top
"Q3","NSS20101","SC89-3",21.100000,39.200000,90.000000,top
"Q4","NSS20101","SC89-3",23.100000,39.200000,90.000000,top
